x"0000", x"0064", x"00C9", x"012D", x"0192", x"01F6", x"025B", x"02BF"
x"7E7E", x"7E6E", x"7E5E", x"7E4E", x"7E3E", x"7E2D", x"7E1C", x"7E0B"
x"7E6E", x"7E5E", x"7E4E", x"7E3E", x"7E2D", x"7E1C", x"7E0B", x"7DF9"
x"7E5E", x"7E4E", x"7E3E", x"7E2D", x"7E1C", x"7E0B", x"7DF9", x"7DE7"
x"7E4E", x"7E3E", x"7E2D", x"7E1C", x"7E0B", x"7DF9", x"7DE7", x"7DD5"
x"7E3E", x"7E2D", x"7E1C", x"7E0B", x"7DF9", x"7DE7", x"7DD5", x"7DC2"
x"7E2D", x"7E1C", x"7E0B", x"7DF9", x"7DE7", x"7DD5", x"7DC2", x"7DB0"
x"7E1C", x"7E0B", x"7DF9", x"7DE7", x"7DD5", x"7DC2", x"7DB0", x"7D9C"
x"7E0B", x"7DF9", x"7DE7", x"7DD5", x"7DC2", x"7DB0", x"7D9C", x"7D89"
x"7DF9", x"7DE7", x"7DD5", x"7DC2", x"7DB0", x"7D9C", x"7D89", x"7D75"
x"7DE7", x"7DD5", x"7DC2", x"7DB0", x"7D9C", x"7D89", x"7D75", x"7D61"
x"7DD5", x"7DC2", x"7DB0", x"7D9C", x"7D89", x"7D75", x"7D61", x"7D4D"
x"7DC2", x"7DB0", x"7D9C", x"7D89", x"7D75", x"7D61", x"7D4D", x"7D38"
x"7DB0", x"7D9C", x"7D89", x"7D75", x"7D61", x"7D4D", x"7D38", x"7D23"
x"7D9C", x"7D89", x"7D75", x"7D61", x"7D4D", x"7D38", x"7D23", x"7D0E"
x"7D89", x"7D75", x"7D61", x"7D4D", x"7D38", x"7D23", x"7D0E", x"7CF8"
x"7D75", x"7D61", x"7D4D", x"7D38", x"7D23", x"7D0E", x"7CF8", x"7CE2"
x"7D61", x"7D4D", x"7D38", x"7D23", x"7D0E", x"7CF8", x"7CE2", x"7CCC"
x"7D4D", x"7D38", x"7D23", x"7D0E", x"7CF8", x"7CE2", x"7CCC", x"7CB6"
x"7D38", x"7D23", x"7D0E", x"7CF8", x"7CE2", x"7CCC", x"7CB6", x"7C9F"
x"7D23", x"7D0E", x"7CF8", x"7CE2", x"7CCC", x"7CB6", x"7C9F", x"7C88"
x"7D0E", x"7CF8", x"7CE2", x"7CCC", x"7CB6", x"7C9F", x"7C88", x"7C70"
x"7CF8", x"7CE2", x"7CCC", x"7CB6", x"7C9F", x"7C88", x"7C70", x"7C59"
x"7CE2", x"7CCC", x"7CB6", x"7C9F", x"7C88", x"7C70", x"7C59", x"7C41"
x"7CCC", x"7CB6", x"7C9F", x"7C88", x"7C70", x"7C59", x"7C41", x"7C29"
x"7CB6", x"7C9F", x"7C88", x"7C70", x"7C59", x"7C41", x"7C29", x"7C10"
x"7C9F", x"7C88", x"7C70", x"7C59", x"7C41", x"7C29", x"7C10", x"7BF7"
x"7C88", x"7C70", x"7C59", x"7C41", x"7C29", x"7C10", x"7BF7", x"7BDE"
x"7C70", x"7C59", x"7C41", x"7C29", x"7C10", x"7BF7", x"7BDE", x"7BC4"
x"7C59", x"7C41", x"7C29", x"7C10", x"7BF7", x"7BDE", x"7BC4", x"7BAB"
x"7C41", x"7C29", x"7C10", x"7BF7", x"7BDE", x"7BC4", x"7BAB", x"7B91"
x"7C29", x"7C10", x"7BF7", x"7BDE", x"7BC4", x"7BAB", x"7B91", x"7B76"
x"7C10", x"7BF7", x"7BDE", x"7BC4", x"7BAB", x"7B91", x"7B76", x"7B5C"
x"7BF7", x"7BDE", x"7BC4", x"7BAB", x"7B91", x"7B76", x"7B5C", x"7B41"
x"7BDE", x"7BC4", x"7BAB", x"7B91", x"7B76", x"7B5C", x"7B41", x"7B25"
x"7BC4", x"7BAB", x"7B91", x"7B76", x"7B5C", x"7B41", x"7B25", x"7B0A"
x"7BAB", x"7B91", x"7B76", x"7B5C", x"7B41", x"7B25", x"7B0A", x"7AEE"
x"7B91", x"7B76", x"7B5C", x"7B41", x"7B25", x"7B0A", x"7AEE", x"7AD2"
x"7B76", x"7B5C", x"7B41", x"7B25", x"7B0A", x"7AEE", x"7AD2", x"7AB5"
x"7B5C", x"7B41", x"7B25", x"7B0A", x"7AEE", x"7AD2", x"7AB5", x"7A99"
x"7B41", x"7B25", x"7B0A", x"7AEE", x"7AD2", x"7AB5", x"7A99", x"7A7C"
x"7B25", x"7B0A", x"7AEE", x"7AD2", x"7AB5", x"7A99", x"7A7C", x"7A5E"
x"7B0A", x"7AEE", x"7AD2", x"7AB5", x"7A99", x"7A7C", x"7A5E", x"7A41"
x"7AEE", x"7AD2", x"7AB5", x"7A99", x"7A7C", x"7A5E", x"7A41", x"7A23"
x"7AD2", x"7AB5", x"7A99", x"7A7C", x"7A5E", x"7A41", x"7A23", x"7A04"
x"7AB5", x"7A99", x"7A7C", x"7A5E", x"7A41", x"7A23", x"7A04", x"79E6"
x"7A99", x"7A7C", x"7A5E", x"7A41", x"7A23", x"7A04", x"79E6", x"79C7"
x"7A7C", x"7A5E", x"7A41", x"7A23", x"7A04", x"79E6", x"79C7", x"79A8"
x"7A5E", x"7A41", x"7A23", x"7A04", x"79E6", x"79C7", x"79A8", x"7989"
x"7A41", x"7A23", x"7A04", x"79E6", x"79C7", x"79A8", x"7989", x"7969"
x"7A23", x"7A04", x"79E6", x"79C7", x"79A8", x"7989", x"7969", x"7949"
x"7A04", x"79E6", x"79C7", x"79A8", x"7989", x"7969", x"7949", x"7929"
x"79E6", x"79C7", x"79A8", x"7989", x"7969", x"7949", x"7929", x"7908"
x"79C7", x"79A8", x"7989", x"7969", x"7949", x"7929", x"7908", x"78E7"
x"79A8", x"7989", x"7969", x"7949", x"7929", x"7908", x"78E7", x"78C6"
x"7989", x"7969", x"7949", x"7929", x"7908", x"78E7", x"78C6", x"78A5"
x"7969", x"7949", x"7929", x"7908", x"78E7", x"78C6", x"78A5", x"7883"
x"7949", x"7929", x"7908", x"78E7", x"78C6", x"78A5", x"7883", x"7861"
x"7929", x"7908", x"78E7", x"78C6", x"78A5", x"7883", x"7861", x"783F"
x"7908", x"78E7", x"78C6", x"78A5", x"7883", x"7861", x"783F", x"781C"
x"78E7", x"78C6", x"78A5", x"7883", x"7861", x"783F", x"781C", x"77F9"
x"78C6", x"78A5", x"7883", x"7861", x"783F", x"781C", x"77F9", x"77D6"
x"78A5", x"7883", x"7861", x"783F", x"781C", x"77F9", x"77D6", x"77B3"
x"7883", x"7861", x"783F", x"781C", x"77F9", x"77D6", x"77B3", x"778F"
x"7861", x"783F", x"781C", x"77F9", x"77D6", x"77B3", x"778F", x"776B"
x"783F", x"781C", x"77F9", x"77D6", x"77B3", x"778F", x"776B", x"7747"
x"781C", x"77F9", x"77D6", x"77B3", x"778F", x"776B", x"7747", x"7722"
x"77F9", x"77D6", x"77B3", x"778F", x"776B", x"7747", x"7722", x"76FD"
x"77D6", x"77B3", x"778F", x"776B", x"7747", x"7722", x"76FD", x"76D8"
x"77B3", x"778F", x"776B", x"7747", x"7722", x"76FD", x"76D8", x"76B2"
x"778F", x"776B", x"7747", x"7722", x"76FD", x"76D8", x"76B2", x"768D"
x"776B", x"7747", x"7722", x"76FD", x"76D8", x"76B2", x"768D", x"7667"
x"7747", x"7722", x"76FD", x"76D8", x"76B2", x"768D", x"7667", x"7640"
x"7722", x"76FD", x"76D8", x"76B2", x"768D", x"7667", x"7640", x"761A"
x"76FD", x"76D8", x"76B2", x"768D", x"7667", x"7640", x"761A", x"75F3"
x"76D8", x"76B2", x"768D", x"7667", x"7640", x"761A", x"75F3", x"75CC"
x"76B2", x"768D", x"7667", x"7640", x"761A", x"75F3", x"75CC", x"75A4"
x"768D", x"7667", x"7640", x"761A", x"75F3", x"75CC", x"75A4", x"757C"
x"7667", x"7640", x"761A", x"75F3", x"75CC", x"75A4", x"757C", x"7554"
x"7640", x"761A", x"75F3", x"75CC", x"75A4", x"757C", x"7554", x"752C"
x"761A", x"75F3", x"75CC", x"75A4", x"757C", x"7554", x"752C", x"7503"
x"75F3", x"75CC", x"75A4", x"757C", x"7554", x"752C", x"7503", x"74DB"
x"75CC", x"75A4", x"757C", x"7554", x"752C", x"7503", x"74DB", x"74B1"
x"75A4", x"757C", x"7554", x"752C", x"7503", x"74DB", x"74B1", x"7488"
x"757C", x"7554", x"752C", x"7503", x"74DB", x"74B1", x"7488", x"745E"
x"7554", x"752C", x"7503", x"74DB", x"74B1", x"7488", x"745E", x"7434"
x"752C", x"7503", x"74DB", x"74B1", x"7488", x"745E", x"7434", x"740A"
x"7503", x"74DB", x"74B1", x"7488", x"745E", x"7434", x"740A", x"73DF"
x"74DB", x"74B1", x"7488", x"745E", x"7434", x"740A", x"73DF", x"73B5"
x"74B1", x"7488", x"745E", x"7434", x"740A", x"73DF", x"73B5", x"7389"
x"7488", x"745E", x"7434", x"740A", x"73DF", x"73B5", x"7389", x"735E"
x"745E", x"7434", x"740A", x"73DF", x"73B5", x"7389", x"735E", x"7332"
x"7434", x"740A", x"73DF", x"73B5", x"7389", x"735E", x"7332", x"7306"
x"740A", x"73DF", x"73B5", x"7389", x"735E", x"7332", x"7306", x"72DA"
x"73DF", x"73B5", x"7389", x"735E", x"7332", x"7306", x"72DA", x"72AE"
x"73B5", x"7389", x"735E", x"7332", x"7306", x"72DA", x"72AE", x"7281"
x"7389", x"735E", x"7332", x"7306", x"72DA", x"72AE", x"7281", x"7254"
x"735E", x"7332", x"7306", x"72DA", x"72AE", x"7281", x"7254", x"7226"
x"7332", x"7306", x"72DA", x"72AE", x"7281", x"7254", x"7226", x"71F9"
x"7306", x"72DA", x"72AE", x"7281", x"7254", x"7226", x"71F9", x"71CB"
x"72DA", x"72AE", x"7281", x"7254", x"7226", x"71F9", x"71CB", x"719D"
x"72AE", x"7281", x"7254", x"7226", x"71F9", x"71CB", x"719D", x"716E"
x"7281", x"7254", x"7226", x"71F9", x"71CB", x"719D", x"716E", x"7140"
x"7254", x"7226", x"71F9", x"71CB", x"719D", x"716E", x"7140", x"7111"
x"7226", x"71F9", x"71CB", x"719D", x"716E", x"7140", x"7111", x"70E1"
x"71F9", x"71CB", x"719D", x"716E", x"7140", x"7111", x"70E1", x"70B2"
x"71CB", x"719D", x"716E", x"7140", x"7111", x"70E1", x"70B2", x"7082"
x"719D", x"716E", x"7140", x"7111", x"70E1", x"70B2", x"7082", x"7052"
x"716E", x"7140", x"7111", x"70E1", x"70B2", x"7082", x"7052", x"7022"
x"7140", x"7111", x"70E1", x"70B2", x"7082", x"7052", x"7022", x"6FF1"
x"7111", x"70E1", x"70B2", x"7082", x"7052", x"7022", x"6FF1", x"6FC0"
x"70E1", x"70B2", x"7082", x"7052", x"7022", x"6FF1", x"6FC0", x"6F8F"
x"70B2", x"7082", x"7052", x"7022", x"6FF1", x"6FC0", x"6F8F", x"6F5E"
x"7082", x"7052", x"7022", x"6FF1", x"6FC0", x"6F8F", x"6F5E", x"6F2C"
x"7052", x"7022", x"6FF1", x"6FC0", x"6F8F", x"6F5E", x"6F2C", x"6EFA"
x"7022", x"6FF1", x"6FC0", x"6F8F", x"6F5E", x"6F2C", x"6EFA", x"6EC8"
x"6FF1", x"6FC0", x"6F8F", x"6F5E", x"6F2C", x"6EFA", x"6EC8", x"6E95"
x"6FC0", x"6F8F", x"6F5E", x"6F2C", x"6EFA", x"6EC8", x"6E95", x"6E63"
x"6F8F", x"6F5E", x"6F2C", x"6EFA", x"6EC8", x"6E95", x"6E63", x"6E30"
x"6F5E", x"6F2C", x"6EFA", x"6EC8", x"6E95", x"6E63", x"6E30", x"6DFC"
x"6F2C", x"6EFA", x"6EC8", x"6E95", x"6E63", x"6E30", x"6DFC", x"6DC9"
x"6EFA", x"6EC8", x"6E95", x"6E63", x"6E30", x"6DFC", x"6DC9", x"6D95"
x"6EC8", x"6E95", x"6E63", x"6E30", x"6DFC", x"6DC9", x"6D95", x"6D61"
x"6E95", x"6E63", x"6E30", x"6DFC", x"6DC9", x"6D95", x"6D61", x"6D2C"
x"6E63", x"6E30", x"6DFC", x"6DC9", x"6D95", x"6D61", x"6D2C", x"6CF8"
x"6E30", x"6DFC", x"6DC9", x"6D95", x"6D61", x"6D2C", x"6CF8", x"6CC3"
x"6DFC", x"6DC9", x"6D95", x"6D61", x"6D2C", x"6CF8", x"6CC3", x"6C8E"
x"6DC9", x"6D95", x"6D61", x"6D2C", x"6CF8", x"6CC3", x"6C8E", x"6C58"
x"6D95", x"6D61", x"6D2C", x"6CF8", x"6CC3", x"6C8E", x"6C58", x"6C23"
x"6D61", x"6D2C", x"6CF8", x"6CC3", x"6C8E", x"6C58", x"6C23", x"6BED"
x"6D2C", x"6CF8", x"6CC3", x"6C8E", x"6C58", x"6C23", x"6BED", x"6BB7"
x"6CF8", x"6CC3", x"6C8E", x"6C58", x"6C23", x"6BED", x"6BB7", x"6B80"
x"6CC3", x"6C8E", x"6C58", x"6C23", x"6BED", x"6BB7", x"6B80", x"6B4A"
x"6C8E", x"6C58", x"6C23", x"6BED", x"6BB7", x"6B80", x"6B4A", x"6B13"
x"6C58", x"6C23", x"6BED", x"6BB7", x"6B80", x"6B4A", x"6B13", x"6ADB"
x"6C23", x"6BED", x"6BB7", x"6B80", x"6B4A", x"6B13", x"6ADB", x"6AA4"
x"6BED", x"6BB7", x"6B80", x"6B4A", x"6B13", x"6ADB", x"6AA4", x"6A6C"
x"6BB7", x"6B80", x"6B4A", x"6B13", x"6ADB", x"6AA4", x"6A6C", x"6A34"
x"6B80", x"6B4A", x"6B13", x"6ADB", x"6AA4", x"6A6C", x"6A34", x"69FC"
x"6B4A", x"6B13", x"6ADB", x"6AA4", x"6A6C", x"6A34", x"69FC", x"69C4"
x"6B13", x"6ADB", x"6AA4", x"6A6C", x"6A34", x"69FC", x"69C4", x"698B"
x"6ADB", x"6AA4", x"6A6C", x"6A34", x"69FC", x"69C4", x"698B", x"6952"
x"6AA4", x"6A6C", x"6A34", x"69FC", x"69C4", x"698B", x"6952", x"6919"
x"6A6C", x"6A34", x"69FC", x"69C4", x"698B", x"6952", x"6919", x"68DF"
x"6A34", x"69FC", x"69C4", x"698B", x"6952", x"6919", x"68DF", x"68A5"
x"69FC", x"69C4", x"698B", x"6952", x"6919", x"68DF", x"68A5", x"686B"
x"69C4", x"698B", x"6952", x"6919", x"68DF", x"68A5", x"686B", x"6831"
x"698B", x"6952", x"6919", x"68DF", x"68A5", x"686B", x"6831", x"67F7"
x"6952", x"6919", x"68DF", x"68A5", x"686B", x"6831", x"67F7", x"67BC"
x"6919", x"68DF", x"68A5", x"686B", x"6831", x"67F7", x"67BC", x"6781"
x"68DF", x"68A5", x"686B", x"6831", x"67F7", x"67BC", x"6781", x"6745"
x"68A5", x"686B", x"6831", x"67F7", x"67BC", x"6781", x"6745", x"670A"
x"686B", x"6831", x"67F7", x"67BC", x"6781", x"6745", x"670A", x"66CE"
x"6831", x"67F7", x"67BC", x"6781", x"6745", x"670A", x"66CE", x"6692"
x"67F7", x"67BC", x"6781", x"6745", x"670A", x"66CE", x"6692", x"6656"
x"67BC", x"6781", x"6745", x"670A", x"66CE", x"6692", x"6656", x"6619"
x"6781", x"6745", x"670A", x"66CE", x"6692", x"6656", x"6619", x"65DD"
x"6745", x"670A", x"66CE", x"6692", x"6656", x"6619", x"65DD", x"65A0"
x"670A", x"66CE", x"6692", x"6656", x"6619", x"65DD", x"65A0", x"6562"
x"66CE", x"6692", x"6656", x"6619", x"65DD", x"65A0", x"6562", x"6525"
x"6692", x"6656", x"6619", x"65DD", x"65A0", x"6562", x"6525", x"64E7"
x"6656", x"6619", x"65DD", x"65A0", x"6562", x"6525", x"64E7", x"64A9"
x"6619", x"65DD", x"65A0", x"6562", x"6525", x"64E7", x"64A9", x"646B"
x"65DD", x"65A0", x"6562", x"6525", x"64E7", x"64A9", x"646B", x"642D"
x"65A0", x"6562", x"6525", x"64E7", x"64A9", x"646B", x"642D", x"63EE"
x"6562", x"6525", x"64E7", x"64A9", x"646B", x"642D", x"63EE", x"63AF"
x"6525", x"64E7", x"64A9", x"646B", x"642D", x"63EE", x"63AF", x"6370"
x"64E7", x"64A9", x"646B", x"642D", x"63EE", x"63AF", x"6370", x"6330"
x"64A9", x"646B", x"642D", x"63EE", x"63AF", x"6370", x"6330", x"62F1"
x"646B", x"642D", x"63EE", x"63AF", x"6370", x"6330", x"62F1", x"62B1"
x"642D", x"63EE", x"63AF", x"6370", x"6330", x"62F1", x"62B1", x"6271"
x"63EE", x"63AF", x"6370", x"6330", x"62F1", x"62B1", x"6271", x"6230"
x"63AF", x"6370", x"6330", x"62F1", x"62B1", x"6271", x"6230", x"61F0"
x"6370", x"6330", x"62F1", x"62B1", x"6271", x"6230", x"61F0", x"61AF"
x"6330", x"62F1", x"62B1", x"6271", x"6230", x"61F0", x"61AF", x"616E"
x"62F1", x"62B1", x"6271", x"6230", x"61F0", x"61AF", x"616E", x"612D"
x"62B1", x"6271", x"6230", x"61F0", x"61AF", x"616E", x"612D", x"60EB"
x"6271", x"6230", x"61F0", x"61AF", x"616E", x"612D", x"60EB", x"60A9"
x"6230", x"61F0", x"61AF", x"616E", x"612D", x"60EB", x"60A9", x"6067"
x"61F0", x"61AF", x"616E", x"612D", x"60EB", x"60A9", x"6067", x"6025"
x"61AF", x"616E", x"612D", x"60EB", x"60A9", x"6067", x"6025", x"5FE2"
x"616E", x"612D", x"60EB", x"60A9", x"6067", x"6025", x"5FE2", x"5FA0"
x"612D", x"60EB", x"60A9", x"6067", x"6025", x"5FE2", x"5FA0", x"5F5D"
x"60EB", x"60A9", x"6067", x"6025", x"5FE2", x"5FA0", x"5F5D", x"5F1A"
x"60A9", x"6067", x"6025", x"5FE2", x"5FA0", x"5F5D", x"5F1A", x"5ED6"
x"6067", x"6025", x"5FE2", x"5FA0", x"5F5D", x"5F1A", x"5ED6", x"5E93"
x"6025", x"5FE2", x"5FA0", x"5F5D", x"5F1A", x"5ED6", x"5E93", x"5E4F"
x"5FE2", x"5FA0", x"5F5D", x"5F1A", x"5ED6", x"5E93", x"5E4F", x"5E0B"
x"5FA0", x"5F5D", x"5F1A", x"5ED6", x"5E93", x"5E4F", x"5E0B", x"5DC6"
x"5F5D", x"5F1A", x"5ED6", x"5E93", x"5E4F", x"5E0B", x"5DC6", x"5D82"
x"5F1A", x"5ED6", x"5E93", x"5E4F", x"5E0B", x"5DC6", x"5D82", x"5D3D"
x"5ED6", x"5E93", x"5E4F", x"5E0B", x"5DC6", x"5D82", x"5D3D", x"5CF8"
x"5E93", x"5E4F", x"5E0B", x"5DC6", x"5D82", x"5D3D", x"5CF8", x"5CB3"
x"5E4F", x"5E0B", x"5DC6", x"5D82", x"5D3D", x"5CF8", x"5CB3", x"5C6D"
x"5E0B", x"5DC6", x"5D82", x"5D3D", x"5CF8", x"5CB3", x"5C6D", x"5C28"
x"5DC6", x"5D82", x"5D3D", x"5CF8", x"5CB3", x"5C6D", x"5C28", x"5BE2"
x"5D82", x"5D3D", x"5CF8", x"5CB3", x"5C6D", x"5C28", x"5BE2", x"5B9C"
x"5D3D", x"5CF8", x"5CB3", x"5C6D", x"5C28", x"5BE2", x"5B9C", x"5B56"
x"5CF8", x"5CB3", x"5C6D", x"5C28", x"5BE2", x"5B9C", x"5B56", x"5B0F"
x"5CB3", x"5C6D", x"5C28", x"5BE2", x"5B9C", x"5B56", x"5B0F", x"5AC8"
x"5C6D", x"5C28", x"5BE2", x"5B9C", x"5B56", x"5B0F", x"5AC8", x"5A81"
x"5C28", x"5BE2", x"5B9C", x"5B56", x"5B0F", x"5AC8", x"5A81", x"5A3A"
x"5BE2", x"5B9C", x"5B56", x"5B0F", x"5AC8", x"5A81", x"5A3A", x"59F3"
x"5B9C", x"5B56", x"5B0F", x"5AC8", x"5A81", x"5A3A", x"59F3", x"59AB"
x"5B56", x"5B0F", x"5AC8", x"5A81", x"5A3A", x"59F3", x"59AB", x"5963"
x"5B0F", x"5AC8", x"5A81", x"5A3A", x"59F3", x"59AB", x"5963", x"591B"
x"5AC8", x"5A81", x"5A3A", x"59F3", x"59AB", x"5963", x"591B", x"58D3"
x"5A81", x"5A3A", x"59F3", x"59AB", x"5963", x"591B", x"58D3", x"588A"
x"5A3A", x"59F3", x"59AB", x"5963", x"591B", x"58D3", x"588A", x"5842"
x"59F3", x"59AB", x"5963", x"591B", x"58D3", x"588A", x"5842", x"57F9"
x"59AB", x"5963", x"591B", x"58D3", x"588A", x"5842", x"57F9", x"57B0"
x"5963", x"591B", x"58D3", x"588A", x"5842", x"57F9", x"57B0", x"5766"
x"591B", x"58D3", x"588A", x"5842", x"57F9", x"57B0", x"5766", x"571D"
x"58D3", x"588A", x"5842", x"57F9", x"57B0", x"5766", x"571D", x"56D3"
x"588A", x"5842", x"57F9", x"57B0", x"5766", x"571D", x"56D3", x"5689"
x"5842", x"57F9", x"57B0", x"5766", x"571D", x"56D3", x"5689", x"563F"
x"57F9", x"57B0", x"5766", x"571D", x"56D3", x"5689", x"563F", x"55F4"
x"57B0", x"5766", x"571D", x"56D3", x"5689", x"563F", x"55F4", x"55AA"
x"5766", x"571D", x"56D3", x"5689", x"563F", x"55F4", x"55AA", x"555F"
x"571D", x"56D3", x"5689", x"563F", x"55F4", x"55AA", x"555F", x"5514"
x"56D3", x"5689", x"563F", x"55F4", x"55AA", x"555F", x"5514", x"54C9"
x"5689", x"563F", x"55F4", x"55AA", x"555F", x"5514", x"54C9", x"547D"
x"563F", x"55F4", x"55AA", x"555F", x"5514", x"54C9", x"547D", x"5432"
x"55F4", x"55AA", x"555F", x"5514", x"54C9", x"547D", x"5432", x"53E6"
x"55AA", x"555F", x"5514", x"54C9", x"547D", x"5432", x"53E6", x"539A"
x"555F", x"5514", x"54C9", x"547D", x"5432", x"53E6", x"539A", x"534E"
x"5514", x"54C9", x"547D", x"5432", x"53E6", x"539A", x"534E", x"5301"
x"54C9", x"547D", x"5432", x"53E6", x"539A", x"534E", x"5301", x"52B5"
x"547D", x"5432", x"53E6", x"539A", x"534E", x"5301", x"52B5", x"5268"
x"5432", x"53E6", x"539A", x"534E", x"5301", x"52B5", x"5268", x"521B"
x"53E6", x"539A", x"534E", x"5301", x"52B5", x"5268", x"521B", x"51CE"
x"539A", x"534E", x"5301", x"52B5", x"5268", x"521B", x"51CE", x"5180"
x"534E", x"5301", x"52B5", x"5268", x"521B", x"51CE", x"5180", x"5133"
x"5301", x"52B5", x"5268", x"521B", x"51CE", x"5180", x"5133", x"50E5"
x"52B5", x"5268", x"521B", x"51CE", x"5180", x"5133", x"50E5", x"5097"
x"5268", x"521B", x"51CE", x"5180", x"5133", x"50E5", x"5097", x"5049"
x"521B", x"51CE", x"5180", x"5133", x"50E5", x"5097", x"5049", x"4FFA"
x"51CE", x"5180", x"5133", x"50E5", x"5097", x"5049", x"4FFA", x"4FAC"
x"5180", x"5133", x"50E5", x"5097", x"5049", x"4FFA", x"4FAC", x"4F5D"
x"5133", x"50E5", x"5097", x"5049", x"4FFA", x"4FAC", x"4F5D", x"4F0E"
x"50E5", x"5097", x"5049", x"4FFA", x"4FAC", x"4F5D", x"4F0E", x"4EBF"
x"5097", x"5049", x"4FFA", x"4FAC", x"4F5D", x"4F0E", x"4EBF", x"4E6F"
x"5049", x"4FFA", x"4FAC", x"4F5D", x"4F0E", x"4EBF", x"4E6F", x"4E20"
x"4FFA", x"4FAC", x"4F5D", x"4F0E", x"4EBF", x"4E6F", x"4E20", x"4DD0"
x"4FAC", x"4F5D", x"4F0E", x"4EBF", x"4E6F", x"4E20", x"4DD0", x"4D80"
x"4F5D", x"4F0E", x"4EBF", x"4E6F", x"4E20", x"4DD0", x"4D80", x"4D30"
x"4F0E", x"4EBF", x"4E6F", x"4E20", x"4DD0", x"4D80", x"4D30", x"4CE0"
x"4EBF", x"4E6F", x"4E20", x"4DD0", x"4D80", x"4D30", x"4CE0", x"4C8F"
x"4E6F", x"4E20", x"4DD0", x"4D80", x"4D30", x"4CE0", x"4C8F", x"4C3F"
x"4E20", x"4DD0", x"4D80", x"4D30", x"4CE0", x"4C8F", x"4C3F", x"4BEE"
x"4DD0", x"4D80", x"4D30", x"4CE0", x"4C8F", x"4C3F", x"4BEE", x"4B9D"
x"4D80", x"4D30", x"4CE0", x"4C8F", x"4C3F", x"4BEE", x"4B9D", x"4B4C"
x"4D30", x"4CE0", x"4C8F", x"4C3F", x"4BEE", x"4B9D", x"4B4C", x"4AFA"
x"4CE0", x"4C8F", x"4C3F", x"4BEE", x"4B9D", x"4B4C", x"4AFA", x"4AA9"
x"4C8F", x"4C3F", x"4BEE", x"4B9D", x"4B4C", x"4AFA", x"4AA9", x"4A57"
x"4C3F", x"4BEE", x"4B9D", x"4B4C", x"4AFA", x"4AA9", x"4A57", x"4A05"
x"4BEE", x"4B9D", x"4B4C", x"4AFA", x"4AA9", x"4A57", x"4A05", x"49B3"
x"4B9D", x"4B4C", x"4AFA", x"4AA9", x"4A57", x"4A05", x"49B3", x"4961"
x"4B4C", x"4AFA", x"4AA9", x"4A57", x"4A05", x"49B3", x"4961", x"490E"
x"4AFA", x"4AA9", x"4A57", x"4A05", x"49B3", x"4961", x"490E", x"48BC"
x"4AA9", x"4A57", x"4A05", x"49B3", x"4961", x"490E", x"48BC", x"4869"
x"4A57", x"4A05", x"49B3", x"4961", x"490E", x"48BC", x"4869", x"4816"
x"4A05", x"49B3", x"4961", x"490E", x"48BC", x"4869", x"4816", x"47C3"
x"49B3", x"4961", x"490E", x"48BC", x"4869", x"4816", x"47C3", x"476F"
x"4961", x"490E", x"48BC", x"4869", x"4816", x"47C3", x"476F", x"471C"
x"490E", x"48BC", x"4869", x"4816", x"47C3", x"476F", x"471C", x"46C8"
x"48BC", x"4869", x"4816", x"47C3", x"476F", x"471C", x"46C8", x"4674"
x"4869", x"4816", x"47C3", x"476F", x"471C", x"46C8", x"4674", x"4620"
x"4816", x"47C3", x"476F", x"471C", x"46C8", x"4674", x"4620", x"45CC"
x"47C3", x"476F", x"471C", x"46C8", x"4674", x"4620", x"45CC", x"4578"
x"476F", x"471C", x"46C8", x"4674", x"4620", x"45CC", x"4578", x"4523"
x"471C", x"46C8", x"4674", x"4620", x"45CC", x"4578", x"4523", x"44CF"
x"46C8", x"4674", x"4620", x"45CC", x"4578", x"4523", x"44CF", x"447A"
x"4674", x"4620", x"45CC", x"4578", x"4523", x"44CF", x"447A", x"4425"
x"4620", x"45CC", x"4578", x"4523", x"44CF", x"447A", x"4425", x"43D0"
x"45CC", x"4578", x"4523", x"44CF", x"447A", x"4425", x"43D0", x"437A"
x"4578", x"4523", x"44CF", x"447A", x"4425", x"43D0", x"437A", x"4325"
x"4523", x"44CF", x"447A", x"4425", x"43D0", x"437A", x"4325", x"42CF"
x"44CF", x"447A", x"4425", x"43D0", x"437A", x"4325", x"42CF", x"4279"
x"447A", x"4425", x"43D0", x"437A", x"4325", x"42CF", x"4279", x"4223"
x"4425", x"43D0", x"437A", x"4325", x"42CF", x"4279", x"4223", x"41CD"
x"43D0", x"437A", x"4325", x"42CF", x"4279", x"4223", x"41CD", x"4177"
x"437A", x"4325", x"42CF", x"4279", x"4223", x"41CD", x"4177", x"4120"
x"4325", x"42CF", x"4279", x"4223", x"41CD", x"4177", x"4120", x"40CA"
x"42CF", x"4279", x"4223", x"41CD", x"4177", x"4120", x"40CA", x"4073"
x"4279", x"4223", x"41CD", x"4177", x"4120", x"40CA", x"4073", x"401C"
x"4223", x"41CD", x"4177", x"4120", x"40CA", x"4073", x"401C", x"3FC5"
x"41CD", x"4177", x"4120", x"40CA", x"4073", x"401C", x"3FC5", x"3F6E"
x"4177", x"4120", x"40CA", x"4073", x"401C", x"3FC5", x"3F6E", x"3F16"
